keypoint_1_x,keypoint_1_y,keypoint_1_z,keypoint_2_x,keypoint_2_y,keypoint_2_z,keypoint_3_x,keypoint_3_y,keypoint_3_z,keypoint_4_x,keypoint_4_y,keypoint_4_z,keypoint_5_x,keypoint_5_y,keypoint_5_z,keypoint_6_x,keypoint_6_y,keypoint_6_z,keypoint_7_x,keypoint_7_y,keypoint_7_z,keypoint_8_x,keypoint_8_y,keypoint_8_z,keypoint_9_x,keypoint_9_y,keypoint_9_z,keypoint_10_x,keypoint_10_y,keypoint_10_z,keypoint_11_x,keypoint_11_y,keypoint_11_z,keypoint_12_x,keypoint_12_y,keypoint_12_z,keypoint_13_x,keypoint_13_y,keypoint_13_z,keypoint_14_x,keypoint_14_y,keypoint_14_z,keypoint_15_x,keypoint_15_y,keypoint_15_z,keypoint_16_x,keypoint_16_y,keypoint_16_z,keypoint_17_x,keypoint_17_y,keypoint_17_z,keypoint_18_x,keypoint_18_y,keypoint_18_z,keypoint_19_x,keypoint_19_y,keypoint_19_z,keypoint_20_x,keypoint_20_y,keypoint_20_z,keypoint_21_x,keypoint_21_y,keypoint_21_z,keypoint_22_x,keypoint_22_y,keypoint_22_z,keypoint_23_x,keypoint_23_y,keypoint_23_z,keypoint_24_x,keypoint_24_y,keypoint_24_z,keypoint_25_x,keypoint_25_y,keypoint_25_z
1163.17,230.098,0.883707,1139.59,359.497,0.819548,1018.83,339.086,0.714221,857.045,415.541,0.649701,727.454,433.098,0.800526,1269.01,368.505,0.673299,1333.75,550.991,0.78464,1236.56,577.366,0.823682,1071.89,621.488,0.601251,995.282,600.965,0.535052,883.494,777.541,0.658274,771.691,1074.88,0.163466,1157.17,642.087,0.502436,1042.33,818.755,0.547556,0,0,0,1142.52,212.352,0.886356,1189.54,218.29,0.906954,1110.14,227.248,0.804691,1224.95,247.658,0.831055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174.88,200.654,0.880235,1142.49,365.496,0.825419,1015.93,353.724,0.655908,927.479,489.08,0.676994,927.559,556.829,0.830149,1277.89,383.14,0.709774,1333.84,553.77,0.749092,1283.67,677.408,0.755528,1068.83,648.01,0.571542,980.569,630.393,0.501971,871.664,801.07,0.627027,771.677,1074.88,0.0601361,1145.4,665.634,0.518209,1024.89,853.957,0.673123,0,0,0,1157.21,185.977,0.839874,1210.09,197.674,0.919597,1115.99,238.872,0.761869,1236.71,247.805,0.725372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174.89,203.593,0.85109,1142.61,362.627,0.80845,1015.87,353.639,0.658229,927.511,486.217,0.665873,927.683,556.876,0.834756,1283.77,377.264,0.686582,1316.17,550.868,0.747725,1272.01,674.474,0.777835,1060.09,665.633,0.536325,974.722,645.08,0.51332,874.634,806.966,0.648419,0,0,0,1142.49,683.332,0.493116,1024.78,854.003,0.689522,0,0,0,1160.05,188.91,0.855224,1210.01,197.74,0.916549,1118.82,227.196,0.751025,1233.76,244.905,0.803534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174.82,209.445,0.826858,1142.53,365.402,0.833768,1015.93,353.669,0.672474,927.568,497.872,0.678666,927.546,556.725,0.834792,1280.7,380.195,0.675151,1330.73,553.907,0.769805,1274.96,674.488,0.753911,1060.04,665.616,0.55688,974.622,647.998,0.522356,874.57,815.796,0.631103,0,0,0,1142.43,677.437,0.51189,1024.73,854.043,0.607942,0,0,0,1160.02,191.833,0.869146,1207.24,200.518,0.911697,1116.11,227.194,0.793747,1236.58,244.68,0.759074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180.74,203.645,0.84916,1145.38,365.384,0.813587,1021.77,344.964,0.705673,927.534,486.175,0.706059,927.474,556.817,0.831758,1280.79,383.064,0.714547,1330.97,550.991,0.766106,1286.8,674.486,0.780257,1057.15,645.014,0.539867,974.751,621.567,0.524307,877.547,821.681,0.61365,783.312,1074.87,0.0602542,1142.47,662.722,0.4998,1024.7,859.854,0.689786,0,0,0,1162.93,191.733,0.874584,1210.16,197.806,0.925786,1119,224.254,0.73474,1236.73,244.878,0.724821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174.84,200.747,0.863245,1142.5,365.394,0.827861,1018.91,347.842,0.683676,927.641,486.197,0.661189,927.55,553.958,0.849037,1277.8,383.105,0.68044,1331,553.735,0.788018,1286.65,677.414,0.777526,1060.03,647.951,0.541017,974.737,627.475,0.503758,865.856,818.71,0.619331,774.591,1074.87,0.0753645,1142.46,665.626,0.505735,1024.68,856.948,0.694518,0,0,0,1157.17,188.864,0.834076,1210.07,200.512,0.91458,1115.99,241.872,0.75597,1233.73,247.861,0.744966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174.85,203.636,0.846512,1145.51,365.369,0.804223,1021.78,347.83,0.689051,927.6,486.129,0.631208,927.582,556.809,0.832498,1283.8,383.071,0.691019,1327.88,556.847,0.746003,1274.86,671.558,0.786489,1065.89,656.883,0.539129,974.747,645.012,0.523022,868.818,827.581,0.566591,768.763,1074.88,0.0524461,1145.43,674.471,0.495145,1024.74,851.063,0.655053,0,0,0,1157.15,191.772,0.839162,1210.02,197.722,0.922761,1115.99,241.837,0.81407,1236.69,244.712,0.730682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157.17,230.157,0.82821,1142.61,347.831,0.799468,1024.84,336.057,0.732353,951.245,480.273,0.82271,1054.26,530.255,0.795331,1266.15,365.451,0.715322,1327.93,539.078,0.767888,1260.15,553.909,0.62772,1063,627.464,0.53831,989.469,603.898,0.520556,880.473,777.567,0.682546,768.666,1074.88,0.12104,1136.57,653.926,0.48683,1021.82,836.454,0.697154,0,0,0,1139.46,215.285,0.877748,1186.55,221.173,0.918687,1107.21,235.96,0.647234,1219.02,247.695,0.843577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192.52,238.878,0.857923,1183.7,356.568,0.753169,1065.97,338.907,0.750581,986.443,486.172,0.690704,1115.95,365.398,0.765561,1304.33,368.491,0.644634,1342.6,565.648,0.749869,1277.86,456.696,0.796602,1074.87,600.921,0.545281,998.261,580.323,0.483127,880.428,812.805,0.534393,762.746,1074.88,0.0844016,1154.28,621.594,0.495711,1021.87,842.234,0.58333,0,0,0,1180.73,215.349,0.841417,1227.8,221.375,0.889301,1148.42,224.316,0.628163,1263.15,247.89,0.813156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142.52,227.128,0.897437,1139.54,359.627,0.823687,1010.03,342.067,0.69163,927.605,477.262,0.734517,859.94,530.257,0.866312,1274.9,371.35,0.657834,1307.46,547.951,0.742244,1266.08,630.423,0.665209,1065.92,648.001,0.588569,980.584,624.521,0.569229,880.629,812.88,0.66467,774.575,1074.88,0.0813036,1142.49,671.594,0.512272,1024.82,856.997,0.70585,0,0,0,1127.77,203.684,0.835164,1171.96,218.201,0.845374,1098.44,224.31,0.504115,1216.12,244.835,0.846146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
