keypoint_1_x,keypoint_1_y,keypoint_1_z,keypoint_2_x,keypoint_2_y,keypoint_2_z,keypoint_3_x,keypoint_3_y,keypoint_3_z,keypoint_4_x,keypoint_4_y,keypoint_4_z,keypoint_5_x,keypoint_5_y,keypoint_5_z,keypoint_6_x,keypoint_6_y,keypoint_6_z,keypoint_7_x,keypoint_7_y,keypoint_7_z,keypoint_8_x,keypoint_8_y,keypoint_8_z,keypoint_9_x,keypoint_9_y,keypoint_9_z,keypoint_10_x,keypoint_10_y,keypoint_10_z,keypoint_11_x,keypoint_11_y,keypoint_11_z,keypoint_12_x,keypoint_12_y,keypoint_12_z,keypoint_13_x,keypoint_13_y,keypoint_13_z,keypoint_14_x,keypoint_14_y,keypoint_14_z,keypoint_15_x,keypoint_15_y,keypoint_15_z,keypoint_16_x,keypoint_16_y,keypoint_16_z,keypoint_17_x,keypoint_17_y,keypoint_17_z,keypoint_18_x,keypoint_18_y,keypoint_18_z,keypoint_19_x,keypoint_19_y,keypoint_19_z,keypoint_20_x,keypoint_20_y,keypoint_20_z,keypoint_21_x,keypoint_21_y,keypoint_21_z,keypoint_22_x,keypoint_22_y,keypoint_22_z,keypoint_23_x,keypoint_23_y,keypoint_23_z,keypoint_24_x,keypoint_24_y,keypoint_24_z,keypoint_25_x,keypoint_25_y,keypoint_25_z
314.96,56.6111,0.829733,318.925,120.555,0.387697,270.622,111.405,0.317918,214.533,151.856,0.217282,154.484,163.633,0.163612,371.089,128.376,0.339583,388.036,185.795,0.174676,395.901,223.601,0.560296,248.429,260.17,0.128697,214.508,254.959,0.130412,157.094,356.747,0.0736477,110.089,418.055,0.107685,287.57,265.39,0.119757,202.768,438.931,0.0515905,0,0,0,308.503,47.5081,0.819974,325.416,48.756,0.812507,0,0,0,350.189,57.9753,0.702951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328.017,56.5854,0.117873,307.156,110.1,0.215032,254.945,69.6627,0.144085,213.185,161.009,0.195991,200.141,193.623,0.389607,364.563,120.533,0.252793,369.797,175.355,0.351731,351.523,89.2853,0.545286,271.914,245.821,0.109419,236.687,240.608,0.0918336,0,0,0,0,0,0,305.843,249.737,0.0997398,0,0,0,0,0,0,326.696,48.8291,0.0887113,338.487,51.3697,0.0840245,0,0,0,352.835,61.817,0.0603303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.855,56.5416,0.904727,321.491,117.927,0.708111,273.222,108.839,0.618729,219.726,153.16,0.469581,151.879,164.903,0.688012,371.141,124.472,0.628744,390.655,184.505,0.475085,398.468,223.593,0.739033,277.149,237.999,0.218562,244.501,224.947,0.205956,150.555,201.452,0.0860186,0,0,0,308.466,253.652,0.207044,202.765,247.134,0.103001,0,0,0,314.958,46.1954,0.8908,330.684,48.7617,0.845035,305.798,52.7023,0.102045,352.823,65.7408,0.772658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317.609,56.5941,0.919794,317.594,119.235,0.706062,271.919,110.124,0.571102,215.8,149.219,0.572689,157.098,164.922,0.711348,361.981,127.052,0.567181,389.343,184.491,0.309602,395.893,221.039,0.705463,271.927,228.86,0.201996,236.676,221.02,0.190331,192.286,257.581,0.141604,119.269,411.538,0.109128,304.531,243.208,0.17525,0,0,0,0,0,0,312.352,47.4142,0.867629,329.392,48.8117,0.847642,304.554,51.3806,0.14272,350.257,67.0603,0.812232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325.386,56.5733,0.843509,317.535,120.546,0.794413,266.692,110.142,0.733188,215.836,158.392,0.468775,201.43,193.599,0.748479,368.446,132.312,0.654251,380.224,193.632,0.534301,378.9,214.49,0.790544,268.023,234.079,0.224684,235.38,221.032,0.193814,202.776,240.605,0.113197,108.802,406.316,0.253958,303.229,248.423,0.217386,211.886,232.785,0.108914,0,0,0,318.867,51.3781,0.821618,339.742,55.3063,0.84368,305.867,68.3626,0.165841,356.746,78.8162,0.739126,0,0,0,0,0,0,0,0,0,90.5358,423.274,0.116047,85.3141,414.157,0.141456,108.775,412.858,0.115105
326.749,55.2523,0.82947,318.847,123.161,0.755163,266.732,112.709,0.63962,214.534,159.693,0.394321,200.168,194.927,0.662009,369.744,136.22,0.667425,380.25,192.32,0.628984,380.177,214.507,0.843107,275.83,243.205,0.358841,243.212,235.389,0.307448,189.721,264.091,0.180799,102.298,411.532,0.406176,307.17,251.034,0.329446,248.433,292.8,0.229876,198.854,424.582,0.167425,318.903,48.8353,0.782819,339.833,53.9802,0.800823,305.859,69.6672,0.305061,357.995,78.8031,0.785284,163.617,441.545,0.0834816,166.239,448.091,0.0601308,200.138,435.026,0.0748429,85.3207,429.816,0.211632,80.1251,420.669,0.246794,103.579,418.074,0.148595
316.251,57.9884,0.787494,311.047,131.003,0.552236,265.394,119.244,0.387746,213.191,151.855,0.55403,147.965,164.902,0.703431,364.568,141.413,0.539159,390.625,191.022,0.308017,395.908,223.58,0.679867,261.486,238.004,0.233852,231.471,223.65,0.218916,192.283,258.894,0.176932,0,0,0,290.198,254.954,0.213235,235.4,348.891,0.115951,202.767,440.257,0.0913332,311.049,47.4723,0.798686,329.294,52.7102,0.769716,0,0,0,350.247,67.038,0.630656,0,0,0,0,0,0,204.046,453.291,0.0590425,0,0,0,0,0,0,0,0,0
328.028,56.5595,0.12409,305.852,108.816,0.238483,244.527,97.0634,0.137624,211.874,163.609,0.287107,200.146,193.664,0.461201,364.56,120.523,0.277579,369.745,175.362,0.365206,351.503,89.2473,0.601694,270.613,244.518,0.107445,234.075,235.387,0.0908608,0,0,0,0,0,0,305.842,247.127,0.0946284,0,0,0,0,0,0,326.702,48.8143,0.0867931,339.753,50.0976,0.0884454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317.626,56.6719,0.932534,318.897,117.932,0.765421,269.325,110.106,0.636245,217.127,149.254,0.570652,158.365,163.628,0.726174,371.084,121.85,0.674671,390.651,188.414,0.460112,399.793,222.292,0.71965,275.802,236.685,0.423082,243.194,227.556,0.345337,193.639,264.088,0.218455,117.919,412.852,0.370046,307.121,245.835,0.378725,245.845,296.725,0.263407,196.221,433.713,0.12959,313.655,46.2335,0.887862,331.951,50.0936,0.82375,304.515,53.9731,0.0913115,351.548,67.0733,0.806633,0,0,0,0,0,0,197.529,435.027,0.0527286,103.597,435.039,0.192132,97.0659,427.194,0.204239,117.938,416.786,0.12538
371.105,74.8479,0.824472,327.985,123.14,0.777438,275.819,108.744,0.688509,213.197,164.933,0.417637,254.896,147.933,0.619211,378.901,140.149,0.682273,380.236,222.314,0.340826,0,0,0,275.824,241.908,0.341682,241.895,231.46,0.296269,191.003,251.032,0.14429,0,0,0,307.151,253.635,0.290559,245.828,284.954,0.090912,209.277,416.759,0.0845216,367.162,64.4215,0.768821,381.522,76.1582,0.759471,339.756,67.0109,0.812846,382.812,89.2835,0.310567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
